Configuration,Metric,Run,Fold,Fold value,Run mean
Original Strict Inductive,AUPRC,8,3,0.8737,0.86584
Original Strict Inductive,AUPRC,8,4,0.8647,0.86584
Original Strict Inductive,AUPRC,8,5,0.8627,0.86584
Original Strict Inductive,AUPRC,9,1,0.8228,0.8554999999999999
Original Strict Inductive,AUPRC,9,2,0.8605,0.8554999999999999
Original Strict Inductive,AUPRC,9,3,0.8851,0.8554999999999999
Original Strict Inductive,AUPRC,9,4,0.8242,0.8554999999999999
Original Strict Inductive,AUPRC,9,5,0.8849,0.8554999999999999
Original Strict Inductive,AUPRC,10,1,0.8271,0.85694
Original Strict Inductive,AUPRC,10,2,0.863,0.85694
Original Strict Inductive,AUPRC,10,3,0.8658,0.85694
Original Strict Inductive,AUPRC,10,4,0.8862,0.85694
Original Strict Inductive,AUPRC,10,5,0.8426,0.85694
Masked Strict Inductive,AUROC,1,1,0.9269,0.92974
Masked Strict Inductive,AUROC,1,2,0.927,0.92974
Masked Strict Inductive,AUROC,1,3,0.927,0.92974
Masked Strict Inductive,AUROC,1,4,0.9447,0.92974
Masked Strict Inductive,AUROC,1,5,0.9231,0.92974
Masked Strict Inductive,AUROC,2,1,0.9202,0.93102
Masked Strict Inductive,AUROC,2,2,0.938,0.93102
Masked Strict Inductive,AUROC,2,3,0.9424,0.93102
Masked Strict Inductive,AUROC,2,4,0.92,0.93102
Masked Strict Inductive,AUROC,2,5,0.9345,0.93102
Masked Strict Inductive,AUROC,3,1,0.9291,0.9312999999999999
Masked Strict Inductive,AUROC,3,2,0.9351,0.9312999999999999
Masked Strict Inductive,AUROC,3,3,0.9289,0.9312999999999999
Masked Strict Inductive,AUROC,3,4,0.9183,0.9312999999999999
Masked Strict Inductive,AUROC,3,5,0.9451,0.9312999999999999
Masked Strict Inductive,AUROC,4,1,0.9253,0.9328000000000001
Masked Strict Inductive,AUROC,4,2,0.955,0.9328000000000001
Masked Strict Inductive,AUROC,4,3,0.9382,0.9328000000000001
Masked Strict Inductive,AUROC,4,4,0.9205,0.9328000000000001
Masked Strict Inductive,AUROC,4,5,0.925,0.9328000000000001
Masked Strict Inductive,AUROC,5,1,0.9194,0.9306000000000001
Masked Strict Inductive,AUROC,5,2,0.9473,0.9306000000000001
Masked Strict Inductive,AUROC,5,3,0.9453,0.9306000000000001
Masked Strict Inductive,AUROC,5,4,0.9112,0.9306000000000001
Masked Strict Inductive,AUROC,5,5,0.9298,0.9306000000000001
Masked Strict Inductive,AUROC,6,1,0.896,0.93004
Masked Strict Inductive,AUROC,6,2,0.9391,0.93004
Masked Strict Inductive,AUROC,6,3,0.9149,0.93004
Masked Strict Inductive,AUROC,6,4,0.9586,0.93004
Masked Strict Inductive,AUROC,6,5,0.9416,0.93004
Masked Strict Inductive,AUROC,7,1,0.9176,0.92834
Masked Strict Inductive,AUROC,7,2,0.9221,0.92834
Masked Strict Inductive,AUROC,7,3,0.9422,0.92834
Masked Strict Inductive,AUROC,7,4,0.9325,0.92834
Masked Strict Inductive,AUROC,7,5,0.9273,0.92834
Masked Strict Inductive,AUROC,8,1,0.9411,0.93148
Masked Strict Inductive,AUROC,8,2,0.9102,0.93148
Masked Strict Inductive,AUROC,8,3,0.9411,0.93148
Masked Strict Inductive,AUROC,8,4,0.9263,0.93148
Masked Strict Inductive,AUROC,8,5,0.9387,0.93148
Masked Strict Inductive,AUROC,9,1,0.9304,0.92842
Masked Strict Inductive,AUROC,9,2,0.9294,0.92842
Masked Strict Inductive,AUROC,9,3,0.9406,0.92842
Masked Strict Inductive,AUROC,9,4,0.9026,0.92842
Masked Strict Inductive,AUROC,9,5,0.9391,0.92842
Masked Strict Inductive,AUROC,10,1,0.9143,0.9295399999999999
Masked Strict Inductive,AUROC,10,2,0.9273,0.9295399999999999
Masked Strict Inductive,AUROC,10,3,0.9279,0.9295399999999999
Masked Strict Inductive,AUROC,10,4,0.9536,0.9295399999999999
Masked Strict Inductive,AUROC,10,5,0.9246,0.9295399999999999
Masked Strict Inductive,AUPRC,1,1,0.8439,0.8552399999999999
Masked Strict Inductive,AUPRC,1,2,0.8623,0.8552399999999999
Masked Strict Inductive,AUPRC,1,3,0.8636,0.8552399999999999
Masked Strict Inductive,AUPRC,1,4,0.8638,0.8552399999999999
Masked Strict Inductive,AUPRC,1,5,0.8426,0.8552399999999999
Masked Strict Inductive,AUPRC,2,1,0.8321,0.86026
Masked Strict Inductive,AUPRC,2,2,0.8839,0.86026
Masked Strict Inductive,AUPRC,2,3,0.8731,0.86026
Masked Strict Inductive,AUPRC,2,4,0.8472,0.86026
Masked Strict Inductive,AUPRC,2,5,0.865,0.86026
Masked Strict Inductive,AUPRC,3,1,0.8493,0.8577199999999999
Masked Strict Inductive,AUPRC,3,2,0.8617,0.8577199999999999
Masked Strict Inductive,AUPRC,3,3,0.8432,0.8577199999999999
Masked Strict Inductive,AUPRC,3,4,0.8307,0.8577199999999999
Masked Strict Inductive,AUPRC,3,5,0.9037,0.8577199999999999
Masked Strict Inductive,AUPRC,4,1,0.8531,0.86356
Masked Strict Inductive,AUPRC,4,2,0.9081,0.86356
Masked Strict Inductive,AUPRC,4,3,0.8585,0.86356
Masked Strict Inductive,AUPRC,4,4,0.8529,0.86356
Masked Strict Inductive,AUPRC,4,5,0.8452,0.86356
Masked Strict Inductive,AUPRC,5,1,0.8567,0.8589600000000001
