Run,Fold,Dataset,Metric,BIMODriver-Original,BIMODriver-Masking,BIMODriver-Masking (Mask Test-Incident Edges),BIMODriver-Masking (Exclude Test Nodes from Loss),BIMODriver-Masking (Mask All Graph Edges),DISFusion,MNGCL
7,5,CPDB,AUC,0.92801117,0.93109106,0.93099031,0.92775211,0.92411093,0.925277,0.92823837
7,5,STRING,AUPRC,0.82144856,0.82680292,0.82332818,0.81652326,0.81234011,0.866501,0.82582951
7,5,STRING,AUC,0.9244041,0.9266603,0.92493497,0.9216303,0.92086054,0.947205,0.92310053
8,1,CPDB,AUPRC,0.87734411,0.86646057,0.8691901,0.8768746,0.87827028,0.84885,0.803481
8,1,CPDB,AUC,0.94310904,0.94016542,0.94102697,0.94408547,0.9464978,0.92885,0.87898882
8,1,STRING,AUPRC,0.83085914,0.8245407,0.82745969,0.83654761,0.82060373,0.821916,0.83703602
8,1,STRING,AUC,0.92456911,0.92054701,0.9190041,0.92493835,0.91506112,0.930292,0.92750347
8,2,CPDB,AUPRC,0.85097192,0.85376183,0.83859463,0.83890215,0.84094636,0.840051,0.87534672
8,2,CPDB,AUC,0.90838862,0.91200712,0.9056891,0.90722552,0.91059993,0.905904,0.93836382
8,2,STRING,AUPRC,0.85027575,0.83922415,0.82818776,0.83533313,0.82679919,0.801878,0.82291167
8,2,STRING,AUC,0.93103084,0.92566365,0.92590102,0.92629663,0.92267015,0.903826,0.92361176
8,3,CPDB,AUPRC,0.86988723,0.87658242,0.86626557,0.87212991,0.85558971,0.856907,0.84086712
8,3,CPDB,AUC,0.93586957,0.94081808,0.93815789,0.93953089,0.93465389,0.937228,0.93618057
8,3,STRING,AUPRC,0.87237857,0.86881079,0.87751503,0.87522986,0.87167075,0.863688,0.80695401
8,3,STRING,AUC,0.94183118,0.94270153,0.94733025,0.947172,0.9460379,0.939339,0.9088866
8,4,CPDB,AUPRC,0.85503981,0.85629811,0.85350635,0.85410188,0.84472927,0.854808,0.8234699
8,4,CPDB,AUC,0.92419729,0.92533425,0.92536304,0.92298836,0.9166127,0.923032,0.90789609
8,4,STRING,AUPRC,0.84420232,0.84845661,0.85293471,0.84724543,0.845576,0.835631,0.79714068
8,4,STRING,AUC,0.92595689,0.92746987,0.92883686,0.92927483,0.92569146,0.929912,0.91700902
8,5,CPDB,AUPRC,0.86884152,0.86270067,0.85129493,0.85336434,0.85911139,0.846855,0.85453589
8,5,CPDB,AUC,0.94378481,0.94103594,0.9358836,0.93618583,0.93949599,0.937222,0.92347305
8,5,STRING,AUPRC,0.81722216,0.81991991,0.81388815,0.81271789,0.81357617,0.823854,0.82073013
8,5,STRING,AUC,0.9234618,0.92168339,0.92090036,0.91884323,0.91940065,0.925731,0.9196534
9,1,CPDB,AUPRC,0.82041088,0.82031897,0.81718547,0.81990992,0.81785009,0.804869,0.80514657
9,1,CPDB,AUC,0.92650986,0.92974067,0.93034376,0.93088941,0.93258379,0.916329,0.88041159
9,1,STRING,AUPRC,0.8227091,0.82795836,0.8319409,0.82975704,0.82482317,0.817249,0.83898976
9,1,STRING,AUC,0.91750076,0.91801506,0.923646,0.91912279,0.91289842,0.923514,0.92423065
9,2,CPDB,AUPRC,0.86349422,0.86328686,0.8613571,0.85229549,0.8591326,0.829399,0.86696241
9,2,CPDB,AUC,0.92949657,0.92791706,0.92748629,0.9279027,0.92773039,0.907585,0.93818598
9,2,STRING,AUPRC,0.83589059,0.82895545,0.83033624,0.83172929,0.82959438,0.829365,0.81417348
9,2,STRING,AUC,0.9253999,0.92557134,0.92445042,0.92732524,0.9266395,0.93955,0.92354153
9,3,CPDB,AUPRC,0.88349033,0.88682984,0.87360003,0.87411738,0.87514384,0.885059,0.84160703
9,3,CPDB,AUC,0.93834382,0.93870137,0.93522597,0.93529748,0.93491133,0.944351,0.93413097
9,3,STRING,AUPRC,0.86119226,0.87189671,0.87271677,0.86797579,0.86973732,0.792719,0.81155413
9,3,STRING,AUC,0.93870581,0.94510161,0.94609065,0.94454774,0.94628846,0.904696,0.91092331
9,4,CPDB,AUPRC,0.82824169,0.82731689,0.81851017,0.82015424,0.81086133,0.807518,0.82517066
9,4,CPDB,AUC,0.90748816,0.90722911,0.90479686,0.90527179,0.90181771,0.906682,0.90799857
9,4,STRING,AUPRC,0.85500957,0.84838093,0.85072935,0.85077286,0.84704148,0.862634,0.80203
9,4,STRING,AUC,0.93000478,0.92647449,0.93008441,0.92740351,0.9273637,0.94256,0.91280635
9,5,CPDB,AUPRC,0.87728447,0.88386137,0.88316304,0.88124496,0.88152839,0.871639,0.85637534
9,5,CPDB,AUC,0.93799922,0.94084884,0.9393089,0.93900666,0.93788409,0.934588,0.93026235
9,5,STRING,AUPRC,0.81898873,0.82058418,0.80544927,0.80841953,0.80916719,0.835423,0.81568646
9,5,STRING,AUC,0.923276,0.92474916,0.9174497,0.92048893,0.92113925,0.917954,0.91679652
10,1,CPDB,AUPRC,0.82850944,0.82591192,0.8213287,0.82051379,0.81246825,0.820426,0.80420265
10,1,CPDB,AUC,0.91677436,0.91684616,0.91792309,0.91907182,0.90968094,0.912639,0.88127541
10,1,STRING,AUPRC,0.82164414,0.82907607,0.83396911,0.83105484,0.81845736,0.808579,0.84129473
10,1,STRING,AUC,0.9148765,0.92187891,0.9208635,0.91992721,0.91001042,0.923593,0.92905747
10,2,CPDB,AUPRC,0.85489049,0.86400433,0.86169827,0.86099466,0.86094068,0.856796,0.88036771
10,2,CPDB,AUC,0.92938169,0.92890784,0.92725654,0.92841963,0.92757244,0.929051,0.94288618
10,2,STRING,AUPRC,0.8404407,0.83802243,0.83404484,0.82933901,0.82548927,0.844128,0.8143374
10,2,STRING,AUC,0.92691643,0.92728567,0.92695599,0.92567683,0.92507022,0.927615,0.92450136
10,3,CPDB,AUPRC,0.86497114,0.86791996,0.85908679,0.8578368,0.8504486,0.827002,0.84648552
10,3,CPDB,AUC,0.92856121,0.92826087,0.92461384,0.92467105,0.92185355,0.916347,0.93395163
10,3,STRING,AUPRC,0.85357562,0.87055602,0.87139085,0.86667027,0.8704231,0.857633,0.8039884
10,3,STRING,AUC,0.93779589,0.94189711,0.94529942,0.94396751,0.94657858,0.934354,0.91782938
10,4,CPDB,AUPRC,0.88343097,0.88625102,0.87770109,0.87079824,0.87421244,0.851622,0.82834985
10,4,CPDB,AUC,0.95236245,0.95499619,0.95214657,0.94936891,0.94857735,0.939669,0.91209777
10,4,STRING,AUPRC,0.85213996,0.85346472,0.8499538,0.84689924,0.84452148,0.802224,0.80240573
10,4,STRING,AUC,0.92898285,0.93019058,0.92950045,0.92873069,0.92679301,0.918113,0.91334939
10,5,CPDB,AUPRC,0.84354914,0.83878081,0.83684946,0.85083807,0.85844649,0.831335,0.85646726
10,5,CPDB,AUC,0.92546378,0.92501763,0.91986529,0.92569405,0.93159478,0.910453,0.93003177
10,5,STRING,AUPRC,0.82489316,0.82236282,0.81567352,0.81444726,0.80918026,0.816768,0.83074508
10,5,STRING,AUC,0.92512077,0.9213516,0.92156394,0.92125869,0.91701173,0.91806,0.92336025
